internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12776,Mantella aurantiaca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Mantella,aurantiaca,,,,,"Mocquard, 1900","There are populations of ""golden"" mantellas that might belong to other species. The taxonomy of this group is uncertain but the definition of <em>Mantella aurantiaca</em> is clear and there seems to be little genetic subdivision within the species (M. Vences pers. comm.)."
1301,Anhydrophryne rattrayi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Anhydrophryne,rattrayi,,,,,"Hewitt, 1919",
135726,Bokermannohyla itapoty,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Bokermannohyla,itapoty,,,,,"Lugli &amp; Haddad, 2006","In the <em>Bokermannohyla alvarengai</em> group. <em>Bokermannohyla itapoty</em> differs from other similar species by a combination of morphological characters, colour patterns and advertisement call features (Lugli and Haddad 2006)."
135794,Pseudis platensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudis,platensis,,,,,"Gallardo, 1961","This assessment includes the Argentinean subpopulations referred to in Lavilla <em>et al.</em> (2000) as <em>Pseudis paradoxus platensis</em> and <em>Pseudis paradoxus occidentalis&#160;</em>according to Aguiar-Jr.&#160;<em>et al.</em> (2007).&#160;<span id=""docs-internal-guid-117b16ff-7fff-090d-fde3-6cf58480bff0"">Although Aguiar<em> et al</em>. (2007) have proposed that <em>Pseudis paradoxa </em>and <em>P. platensis</em> are valid species, further studies based on the external morphological characterization of adults, as well as bioacoustic characters and larval morphology, have not found sufficient evidence to support the recognition of<em> P. platensis </em>as a valid&#160;taxon (Garda <em>et al.</em> 2010, Santana <em>et al</em>. 2016, Pérez-Granados <em>et al</em>. 2020)."
135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,,"Wake, Savage &amp; Hanken, 2007",Specimens formerly considered&#160;<em>Bolitoglossa robinisoni</em>&#160;from Valle El Silencio are now thought to belong to this species (E. Arias pers. comm. September 2019).
135889,Telmatobius sanborni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,sanborni,,,,,"Schmidt, 1954",De la Riva (2005) resurrected <em>Telmatobius sanborni</em> from the synonymy of <em>Telmatobius marmoratus</em> on the basis of differences in morphological features and colour patterns.
135968,Chimerella mariaelenae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Chimerella,mariaelenae,,,,,"(Cisneros-Heredia &amp; McDiarmid, 2006)",
136015,Pristimantis aquilonaris,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,aquilonaris,,,,,"Lehr, Aguilar, Siu-Ting and Jordán, 2007","<em>Pristimantis aquilonaris</em> is distinguished from other similar species by a combination of morphological features and colour patterns (Lehr et al., 2007)."
136036,Ctenophryne barbatula,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Ctenophryne,barbatula,,,,,"(Lehr &amp; Trueb, 2007)",
136055,Anodonthyla moramora,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Anodonthyla,moramora,,,,,"Glaw &amp; Vences, 2005",
136056,Zhangixalus yinggelingensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Zhangixalus,yinggelingensis,,,,,"(Chou, Lau &amp; Chan, 2007)",
136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,,"Wake, Savage &amp; Hanken, 2007",This species was confused with<em>&#160;Bolitoglossa pesrubra</em>&#160;prior to its naming (Wake <em>et al. </em>2007). It has been determined by mtDNA phylogeny to be part of the&#160;<em>B. subpalmata</em> clade (Boza-Oveido <em>et al.</em> 2012).
136129,Telmatobius punctatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,punctatus,,,,,"Vellard, 1955",<em>Telmatobius punctatus</em> was previously considered to be a subspecies of <em>Telmatobius brevirostris</em>; it was elevated to specific status by Lehr (2005) based on differences in morphological features and colour patterns.
78526171,Oreobates lehri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Oreobates,lehri,,,,,"(Padial, Chaparro &amp; De la Riva, 2007)","<p><em>Oreobates lehri </em>was initially ascribed to two distant populations, one in Cordillera Vilcabamba, which is now considered typical <em>O. lehri</em>, and one in the Andean hills of the Kosñipata Valley, to which is now assigned to&#160;<em>O. gemcare </em>(Padial <em>et al</em>. 2012).&#160;This is a restricted concept of <em>O. lehri </em>following the split of the broader concept into this and <em>O. gemcare&#160;</em>(Padial&#160;<em>et al</em>. 2012).</p>"
182530066,Bufotes viridis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Bufotes,viridis,,,,,"(Laurenti, 1768)","Further revision of taxonomy of the <em>Bufotes viridis</em> complex with the use of genetic and biochemical data is needed. There was disagreement over the use of the generic name <em>Pseudepidalea</em> in place of <em>Bufo </em>and now most species have been moved to <em>Bufotes</em> because of non-monophyly of both <em>Bufo </em>and <em>Pseudepidalea.<br/></em><br/>After Dufresnes <em>et al</em>. (2019) revised the taxonomy of the <em>B. viridis</em> complex, synonymizing <em>B. balearicus</em> and <em>Bufo variabilis</em> within it and clarified range limits between this species and the former synonym <em>B. sitibundus</em>, which they elevated to specific status, encompassing most of the species' former range, Frost (""Amphibian Species of the World"") again synonymized <em>B. sitibundus </em>with <em>B. viridis</em>.&#160;<em>Bufo perrini</em> was also elevated from sub-species to species level by Dufresnes <em>et al.</em>&#160;(2019), but is not recognised by Frost as a separate taxonomic entity."
